formation_date,action_date,as_of,ts_code,name,final_fate,priority,opportunity_type,selection_reason,strongest_counterevidence,nearest_comparison,current_day,current_close_return,max_close_return_so_far,hit_20pct_close_within_20d,first_hit_day,terminal_return_20d,selection_as_of,validation_mode,max_close_return_20d
2026-08-10,2026-08-11,2026-08-10T15:59:59.000Z,002338.SZ,奥普光电,selected,1,independent_price_anomaly,1日+8.20%、5日+17.53%，20日-7.10%、60日位置27.6；5日全涨、平均收盘位置0.85，相对军工电子Ⅱ超额清楚。,5日已涨17.53%，且军工电子共同上涨明显。,天和防务（同类型）；华友钴业（跨类型）；比天和防务连续性更完整；比华友钴业个股独立增量更清楚。,5,3.63,3.63,false,,,,
2026-08-10,2026-08-11,2026-08-10T15:59:59.000Z,603799.SH,华友钴业,selected,2,sector_diffusion,能源金属1/3/5日上涨面均为100%，板块1日+3.86%、5日+13.71%；个股5日+16.46%、成交倍数2.36。,板块和个股均已明显上涨，并受商品价格敏感性与质押事实影响。,腾远钴业（同类型）；信音电子（跨类型）；比腾远钴业流动性和成交后的推进效率更好；信音电子缺少足够价格确认。,5,-4.73,-3.5,false,,,,
2026-08-11,2026-08-12,2026-08-11T15:59:59.000Z,301183.SZ,东田微,selected,1,independent_price_anomaly,1日+6.33%、5日+19.12%，20日-9.89%、60日位置42.0；5日全涨且相对光学光电子超额显著。,连续上涨已经接近短期透支。,田中精机（同类型）；阳光电源（跨类型）；比田中精机连续性更强；比阳光电源剩余价格路径更干净。,4,14.02,14.02,false,,,,
2026-08-11,2026-08-12,2026-08-11T15:59:59.000Z,300461.SZ,田中精机,selected,2,independent_price_anomaly,1日+10.92%、5日+17.16%，成交倍数3.13、60日位置33.6；相对自动化设备1日和5日超额明显。,最后一日贡献过大，且流动性较弱。,麦捷科技（同类型）；东田微（最终上位替代）；比麦捷科技独立贡献更突出，但走势更依赖最后一日且流动性弱于东田微。,4,-7.38,-3.66,false,,,,
2026-08-11,2026-08-12,2026-08-11T15:59:59.000Z,300274.SZ,阳光电源,selected,3,company_catalyst,7月21日提出回购、8月3日形成正式方案、8月7日首次实施；正式方案后+15.74%，首次实施后+5.18%，60日位置20.9。,回购材料性有限，事件已经交易数日。,同阶段公司催化无更强替代；东田微和田中精机（跨类型）；同类没有同时具备明确阶段和价格确认的更强候选；跨类型候选独立价格增量更强，因此排在其后。,4,-1.74,-1.74,false,,,,
2026-08-12,2026-08-13,2026-08-12T15:59:59.000Z,001979.SZ,招商蛇口,selected,1,sector_diffusion,房地产开发1日上涨面97.6%、3日和5日上涨面95.1%；个股1日+5.26%、5日+10.61%，成交倍数1.66。,房地产连续上涨且高度依赖政策预期。,华发股份、金融街、保利发展（同类型）；佳缘科技（跨类型）；强度、流动性和参与性优于同板块替代；比佳缘科技拥有更广的共同证据。,3,-0.66,0.4,false,,,,
2026-08-12,2026-08-13,2026-08-12T15:59:59.000Z,301117.SZ,佳缘科技,selected,2,independent_price_anomaly,1日+6.06%、5日+14.01%，成交倍数1.96、60日位置35.6；同期计算机设备1日+0.81%、5日+1.21%。,流动性有限，独立信号缺少公司事实。,菲利华、英唐智控（同类型）；招商蛇口（跨类型）；相对强度优于菲利华和英唐智控；但板块共同证据弱于招商蛇口。,3,-6.67,-4.88,false,,,,
2026-08-13,2026-08-14,2026-08-13T15:59:59.000Z,300120.SZ,经纬辉开,selected,1,independent_price_anomaly,弱市中1日+9.04%、3日+12.21%、5日+13.20%，成交倍数2.37、60日位置32.0，相对市场和光学光电子均显著增强。,形成日单日贡献较大，且没有新公司变化支持。,梅雁吉祥（同类型）；协创数据（跨类型）；比梅雁吉祥20日延伸更低、剩余位置更好；协创数据缺少结构化公司结果。,2,23.23,23.23,true,2,,,
2026-08-13,2026-08-14,2026-08-13T15:59:59.000Z,600868.SH,梅雁吉祥,selected,2,independent_price_anomaly,1日+9.47%、5日+12.23%，4/5日上涨、平均收盘位置0.80，明显强于同期电力行业。,价格与亏损基本面脱节，并有应收和减值风险。,立昂技术（同类型）；协创数据（跨类型）；比立昂技术连续性更好且监管反证更少；协创数据缺少结构化半年报数字。,2,-5.7,-5.7,false,,,,
2026-08-14,2026-08-17,2026-08-14T15:59:59.000Z,301489.SZ,思泉新材,selected,1,sector_diffusion,电子化学品Ⅱ1日+3.98%、上涨面97.2%，3日上涨面83.3%、5日上涨面66.7%；个股1日+14.96%、5日+16.88%。,形成日已大涨，短期热度较高。,中石科技（同类型）；弘景光电（跨类型）；比中石科技行动日可参与性更好、短期延伸更低；比弘景光电拥有更宽的板块共同证据。,1,-0.33,-0.33,false,,,,
